날짜,제목
2022-12-31,결제카드등록
2022-12-31,회원카드 발급 후 결제카드등록 내역 미표출의 건
2022-12-31,환경부 전기차 충전카드 번호변경 문의
2022-12-31,회원카드 타 아이디로 이전
2022-12-30,차량 변경시 카드 사용 여부
2022-12-30,카드연결 방법
2022-12-30,카드를 발급 받아 결제카드 등록 오류
2022-12-30,등기 번호 문의
2022-12-29,회원가입불가
2022-12-29,충전알림 문자 문의
2022-12-29,회원카드 발급 문의
2022-12-29,결재카드 등록 불가 문의
2022-12-29,충전알림문자 및 알림톡 문의
2022-12-29,충전 멤버십카드의 차량번호 등록 요청 드립니다.
2022-12-29,급속충전기 고장신고
2022-12-29,차량 번호 등록
2022-12-29,결제카드.등록 문의
2022-12-29,카드 인식 불가 (카드번호 오류)
2022-12-28,회원카드가 7일째 안오고있습니다.
2022-12-28,결제카드 등록
2022-12-28,회원카드 신청 절차 문의드립니다.
2022-12-28,11월 타기관 이용 청구 언제될까요
2022-12-28,전기차 충전 단가 업데이트 건
2022-12-28,테슬라 모델s을 운행하고 있는데 공항 주차요금이 할인을 안 된네요
2022-12-28,어제 환경부 카드로 충전했는데 바로 확인은 안되나요?
2022-12-28,타기관 충전기 전표 출력 문의
2022-12-28,회원카드 발송여부
2022-12-27,차량 모델에 아이오닉6가 없습니다.
2022-12-27,결제오류 결제는 어떻게 하나요?
2022-12-27,"결제 실패한 1건이 있는데, 실패해서 충전을 못 한 건입니다. 어떻게 처리 되어야 하나요?"
2022-12-26,결제 금액 문의
2022-12-26,카드결제에 관한 질문
2022-12-26,구금고 변경에 따른 결재카드 변경
2022-12-26,법인차량 등록관련 질의
2022-12-26,회원카드 발송여부
2022-12-26,결제내역이 안보입니다.
2022-12-26,타기관 충전내역 영수증 발급 문의
2022-12-26,전기차 충전소 위치정보 요청
2022-12-26,충청남도 태안군-태안국민체육센터 충전기 언제 수리되나요?
2022-12-26,회원카드에 결제카드 등록이 안됩니다.
2022-12-26,차지비 충전기에서 왜 환경부카드가 인식이 안될까요? Card Failed라고 뜹니다
2022-12-25,환경부 카드 반송된 경우
2022-12-25,전기차 모델에 e-tron gt 추가 부탁드립니다.
2022-12-25,차량번호 변경요청드려요
2022-12-25,카드결제오류
2022-12-24,환경부카드 분실했습니다
2022-12-24,차량 번호 변경 요청
2022-12-23,차량번호 변경 요청드립니다.
2022-12-23,차량 번호 변경
