기준일,부산,대구,대전,광주,경기,강원,경북,경남,충북,충남,전북,전남,세종,서울,인천,울산,제주,합계
2018-12-31,1567,6605,1334,1447,6383,1377,2001,2107,1199,1127,997,1974,394,9564,1284,847,15549,55756.0
2019-12-31,3216,11313,2555,2464,11750,2445,4051,3626,2412,2841,1841,3326,903,14952,2598,1447,18178,89918.0
2020-08-31,4320,12468,3338,3046,17197,3091,5400,5003,3319,4252,2906,4576,1076,20997,4204,2142,20699,
2022-03-01,15330,17584,8595,6015,45891,8652,12318,14371,9683,11532,8404,9978,2069,43206,14134,3789,26702,258253.0
2022-02-01,13805,17091,7902,5652,41266,8179,11540,13536,8664,10525,7456,9203,1902,41693,13179,3405,26184,241182.0
2022-01-01,12501,16169,7675,5204,40239,8042,11269,12725,8184,10015,7389,8837,1879,41140,12942,3180,25580,232970.0
2021-12-01,12375,16185,7701,5194,39958,7946,11240,12606,8194,9991,7365,8708,1859,40564,12820,3166,25571,231443.0
2021-11-01,11766,16083,7737,4978,38563,7231,10870,12122,7731,9836,7147,8042,1717,38840,11775,3149,25381,222968.0
2021-10-01,10939,15753,7700,4806,37084,6786,10373,11199,7362,9480,6733,7826,1680,35067,11295,3184,24410,211677.0
2021-09-01,10480,15122,7134,4722,35385,6266,10013,10274,6801,8847,6286,7574,1627,33434,10543,3167,23845,201520.0
2021-08-01,9525,14632,6652,4478,33832,5929,9683,9730,6414,8426,5826,7211,1509,31220,9370,3038,23590,191065.0
2021-07-01,8824,14226,6143,4242,31820,5485,9171,9244,5934,8042,5466,6956,1437,29325,8446,2943,23262,180966.0
2021-06-01,8503,13974,5836,4081,30030,5200,8676,8685,5480,7254,5104,6643,1404,28752,7790,2897,22838,173147.0
2021-05-01,7515,13472,5222,3813,26944,4750,8118,7867,4952,6588,4432,6222,1353,27013,6708,2734,22148,159851.0
2021-04-01,6821,13142,4995,3593,24841,4460,7773,7474,4781,6269,4054,6001,1317,25581,6312,2599,21978,151991.0
2021-03-01,6600,13041,4885,3504,23887,4280,7588,7220,4688,5946,3596,5773,1295,24918,6106,2527,21832,147686.0
2021-02-01,5512,12846,4462,3200,21100,4086,7149,6552,4338,5575,3363,5415,1186,23381,5517,2284,21297,137263.0
2021-01-01,5409,12557,4463,3210,20670,4076,7066,6369,3897,5562,3360,5251,1157,23441,5428,2269,21206,135391.0
