지역,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
강원도,20398,16955,14560,11842,7550,3540,2031,892,170,76,61,32,10,7,5,0
경기도,166319,124529,92771,66606,34642,16116,9131,3876,729,236,171,96,40,32,23,0
경상남도,52778,37441,29267,19278,11146,5023,3107,1387,446,303,299,188,82,51,51,0
경상북도,29951,22134,16805,12555,7779,4246,2930,1018,258,102,85,52,17,10,8,0
광주광역시,16277,13051,10682,8025,4961,3041,2329,1084,197,105,97,63,2,1,0,0
대구광역시,34515,28868,24479,20210,13942,9014,8467,4393,568,119,36,10,3,2,2,0
대전광역시,22387,18961,15735,13044,7204,3591,2349,1019,104,19,13,10,7,2,2,0
부산광역시,50122,38277,29569,19593,11163,4628,3076,1010,401,172,142,67,9,7,4,0
서울특별시,87135,74116,64369,53612,37617,17463,9796,4745,1191,785,694,378,134,48,41,5
세종특별자치시,6718,5234,4379,3044,1874,897,665,218,24,8,7,2,2,0,0,0
울산광역시,12485,9951,8196,6301,4727,3552,2421,909,184,30,26,11,8,7,7,0
인천광역시,71284,48498,35275,23974,11829,4581,2169,790,233,94,77,49,13,10,7,0
전라남도,33094,25329,19450,12770,7565,3756,2234,981,384,221,188,78,15,10,7,0
전라북도,22764,18717,14581,9901,5888,2586,1401,616,139,18,16,4,0,0,0,0
제주특별자치도,47302,39059,30568,25736,21325,12338,11064,8088,3255,2567,1605,433,131,42,40,0
충청남도,28961,22609,17954,13234,8194,4513,2558,721,167,68,62,44,27,3,1,0
충청북도,25862,20054,15393,12316,6778,3160,2052,812,100,21,16,4,1,0,0,0
