년월,서울,경기,인천,강원,충청,전라,경상,제주,합계
2020-12,4031,7597,1147,1634,4478,4836,7684,3307,34714
2021-06,9922,18456,2710,2720,9016,8421,19947,4686,75878
2021-12,14857,22892,3849,3164,10650,9880,23806,4943,94041
2022-06,22390,30558,5074,3972,13735,12220,29818,5246,123013
2022-12,34091,50587,9378,6424,22607,17870,46082,5909,192948
2023-06,34091,50587,9378,6424,22607,17870,46082,5909,192948
2023-12,48559,77364,15489,10515,34200,27044,67446,7531,288148
2024-01,50152,82690,16269,10945,36174,28512,70970,7690,303402
2024-02,51392,84912,16681,11227,37604,29369,72581,7756,311522
2024-03,53213,88461,17800,11700,38935,30785,74447,7913,323254
2024-04,55050,92560,18724,11997,40197,32160,77173,8024,335885
2024-05,55954,95589,19032,12284,41478,33158,79022,8016,344533
2024-06,56755,98168,19469,12477,42139,33872,80642,8014,351536
2024-07,57400,99674,19648,12778,42813,34482,82344,8028,357167
2024-08,58182,102032,20196,12967,43567,35507,84146,8152,364749
2024-09,58784,104232,20502,13109,43935,36234,84870,8361,370027
2024-10,59524,106967,21061,13303,44784,37066,86337,8489,377531
2024-11,60201,109467,21795,13518,45635,37911,87828,8519,384874
2024-12,60615,112384,22349,13818,47247,38585,90573,8561,394132
2025-01,62208,116225,23183,14120,48610,39431,92888,8470,405135
2025-02,61549,117413,23572,14253,49323,39929,93423,8414,407876
2025-03,62641,120662,24032,14564,50175,40773,95470,8433,416750
2025-04,62692,120829,24044,14575,50275,40868,95724,8430,417437
2025-08,66045,131126,26619,15241,53104,43511,103774,8348,447768
2025-12,68654,138478,28519,15889,55734,44686,108735,8350,469045
