statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker
낙성대동주민센터,ME174013,01,6,서울특별시 관악구 낙성대로4가길 5,null,null,24시간 이용가능,37.476296,126.9583876,ME,환경부,환경부,1661-9408,2,20260415111314,20260414195349,20260414203328,,,50,단독,11,11620,G0,G003,Y,,N,,N,,N,2017,1,F,시그넷
서울추모공원,ME174027,01,6,서울특별시 서초구 양재대로12길 74, 1층 입구,null,24시간 이용가능,37.4536062,127.0428005,ME,환경부,환경부,1661-9408,3,20260415111615,20260415052500,20260415060817,20260415105616,,50,단독,11,11650,A0,A004,N,,N,,N,,N,2017,1,F,시그넷
롯데마트 송파점,ME174029,01,6,서울특별시 송파구 중대로 80, 지하4층 C8,null,24시간 이용가능,37.4918392,127.1178931,ME,환경부,환경부,1661-9408,2,20260415111319,20260414174833,20260414181648,,,50,단독,11,11710,E0,E001,N,,N,,N,,N,2017,4,B,시그넷
현대자동차 수색대리점,ME174037,01,6,서울특별시 은평구 수색로 342-1,null,null,24시간 이용가능,37.5867665,126.8880299,ME,환경부,환경부,1661-9408,2,20260415111323,20260414221325,20260414225646,,,50,단독,11,11380,F0,F001,N,,N,,N,,N,2017,1,F,시그넷
태화빌딩,ME174039,01,6,서울특별시 종로구 인사동5길 29, 지상주차장,null,24시간 이용가능,37.5718148,126.9850443,ME,환경부,환경부,1661-9408,2,20260415111328,20260414133412,20260414141718,,,50,단독,11,11110,H0,H003,N,,N,,N,,N,2017,1,F,시그넷
위미의례회관,ME174046,01,6,제주특별자치도 서귀포시 남원읍 중산간동로 6862,null,null,24시간 이용가능,33.289615,126.6576261,ME,환경부,환경부,1661-9408,2,20260415111534,20260415100023,20260415100929,,,50,단독,50,50130,A0,A004,N,,N,,N,,N,2017,1,F,시그넷
중문 관광단지,ME174050,01,6,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,null,24시간 이용가능,33.2461812,126.4143365,ME,환경부,환경부,1661-9408,2,20260415111545,20260414181231,20260414183607,,,50,단독,50,50130,D0,D007,Y,,N,,N,,N,2017,1,F,시그넷
표선 의례회관 앞 공영주차장,ME174061,01,6,제주특별자치도 서귀포시 표선면 표선리 2103,null,null,24시간 이용가능,33.3272826,126.8233934,ME,환경부,환경부,1661-9408,2,20260415111659,20260415093054,20260415101019,,,50,단독,50,50130,B0,B001,Y,,N,,N,,N,2017,1,F,시그넷
회수사거리 인근 공영주차장,ME174062,01,6,제주특별자치도 서귀포시 회수동 788-2,null,null,24시간 이용가능,33.2631165,126.4425962,ME,환경부,환경부,1661-9408,2,20260415111446,20260414161514,20260414163015,,,50,단독,50,50130,B0,B001,Y,,N,,N,,N,2017,1,F,시그넷
용암해수산업화지원센터,ME174064,01,6,제주특별자치도 제주시 구좌읍 일주동로 2706-40,null,null,24시간 이용가능,33.5425723,126.8125030,ME,기후에너지환경부,환경부,1661-9408,2,20260415111406,20260408095029,20260408103653,,,50,단독,50,50110,A0,A004,Y,,N,,N,,N,2017,1,F,시그넷
